RQ1.1,RQ1.2,RQ1.3,RQ1.4,RQ1.5,RQ2.1,RQ2.2,RQ2.3,RQ2.4,RQ2.5,RQ3.1,RQ3.2,RQ3.3,RQ3.4,RQ3.5,RQ4.1,RQ4.2,RQ4.3,RQ4.4,RQ4.5,RQ5.1,RQ5.2,RQ5.3,RQ5.4,RQ5.5,RQ6.1,RQ6.2,RQ6.3,RQ6.4,RQ6.5,F11,F12,F13,F14,F15,F16,y11,Y1,y22,y33,y44,y55,y66,Y2,Y3,Y4,Y5,Y6,Improved
1,3,2,1,2,4,2,3,2,4,4,4,2,1,4,4,2,4,4,3,2,2,4,3,4,4,4,4,4,2,-1.345660772,-0.649853245,-0.038264794,0.055682275,-0.409921008,0.04975562,9,1,15,15,17,15,18,1,1,1,1,1,-0.558071086
1,2,3,1,3,2,3,2,3,4,2,3,2,1,1,1,1,2,3,3,3,2,1,2,1,1,1,2,2,1,-1.120929026,-0.242646413,-1.300547432,-1.763886371,-1.65704024,-2.587483576,10,1,14,9,10,9,7,1,1,1,1,1,-1.895855591
1,3,3,3,3,2,2,3,4,5,3,3,3,2,2,2,2,2,1,1,1,3,1,2,1,1,1,2,3,4,-0.503495203,0.165309805,-0.51370725,-1.769123989,-1.908316598,-1.902658612,13,1,16,13,8,8,11,1,1,1,1,1,-1.345642811
3,4,4,5,5,1,2,2,2,1,1,2,3,2,2,2,2,2,3,3,1,1,1,2,2,4,5,4,4,3,1.164996702,-1.525307413,-1.163635743,-1.204575286,-2.211660319,0.513837178,21,1,8,10,12,7,20,1,1,1,1,1,-1.363772325
1,1,2,2,3,2,2,3,3,3,3,3,3,4,5,5,5,4,4,3,3,2,2,2,1,1,2,1,3,5,-1.398161829,-0.570592235,0.497220492,1.177571714,-1.441103195,-1.687160262,9,1,13,18,21,10,12,1,1,1,1,1,-0.717280619
4,4,2,5,1,5,3,2,4,2,3,2,1,1,2,2,2,5,2,1,4,3,2,2,4,5,5,2,4,4,-0.091700149,-0.138171116,-1.410530308,-0.807002813,-0.261682612,0.357882837,16,1,16,9,12,15,20,1,1,1,1,1,-0.730446671
1,2,1,5,1,1,2,4,5,3,1,5,1,3,1,1,5,1,2,5,1,3,1,5,1,1,5,1,2,1,-1.306240963,0.273220625,-0.704815089,-0.897285043,-1.323774131,-1.578088933,10,1,15,11,14,11,10,1,1,1,1,1,-1.336850748
4,4,2,3,4,4,2,5,4,2,2,4,4,3,2,4,4,4,2,2,4,4,3,4,4,4,4,4,4,4,0.269983816,0.032446097,-0.000319527,0.147587393,0.60579122,0.348929811,17,1,17,15,16,19,20,1,1,1,1,1,0.24489058
2,3,1,1,1,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,2,2,4,4,2,2,4,2,-1.643987678,0.237035138,0.676537779,0.712136097,-0.523524421,-1.076399722,8,1,18,19,20,14,14,1,1,1,1,1,-0.134958191
3,5,2,1,4,4,4,2,3,5,2,3,3,5,3,1,3,3,4,4,1,4,2,3,5,1,3,4,3,1,-0.031175825,0.347188069,0.108455468,-0.661126235,-0.354330667,-1.225264555,15,1,18,16,15,15,12,1,1,1,1,1,-0.167339324
